FUNCTION                                                                     CALLS        %        TIME  [uS / CALLS]
--------                                                                     -----  -------        ----  [----------]
io:o_request/3                                                                   2     0.00           0  [      0.00]
io:put_chars/2                                                                   2     0.00           0  [      0.00]
io:put_chars/3                                                                   2     0.00           0  [      0.00]
gen:init_it/6                                                                   11     0.00           0  [      0.00]
gen:init_it2/7                                                                  11     0.00           0  [      0.00]
gen:name/1                                                                      11     0.00           0  [      0.00]
gen:hibernate_after/1                                                           11     0.00           0  [      0.00]
gen:debug_options/2                                                             11     0.00           0  [      0.00]
application:get_env/3                                                            2     0.00           0  [      0.00]
'Elixir.Application':get_env/3                                                   2     0.00           0  [      0.00]
'Elixir.Inspect.Atom':color_key/1                                                1     0.00           0  [      0.00]
'Elixir.Inspect.Atom':inspect/2                                                  1     0.00           0  [      0.00]
'Elixir.File.Stream':'__build__'/3                                               1     0.00           0  [      0.00]
'Elixir.GenStage.Stream':build/2                                                 1     0.00           0  [      0.00]
'Elixir.GenStage.Stream':cancel_monitor/2                                        1     0.00           0  [      0.00]
'Elixir.GenStage.Stream':close_stream/1                                          1     0.00           0  [      0.00]
'Elixir.GenStage.Stream':flush_monitor/1                                         1     0.00           0  [      0.00]
'Elixir.GenStage.Stream':init_monitor/2                                          1     0.00           0  [      0.00]
'Elixir.GenStage.Stream':init_stream/2                                           1     0.00           0  [      0.00]
'Elixir.GenStage.Stream':request_to_cancel_stream/3                              1     0.00           0  [      0.00]
'Elixir.GenStage.Stream':subscriptions_monitor/3                                 1     0.00           0  [      0.00]
'Elixir.GenStage.Stream':'-init_stream/2-fun-1-'/3                               1     0.00           0  [      0.00]
'Elixir.GenStage.Stream':'-init_stream/2-fun-0-'/2                               1     0.00           0  [      0.00]
'Elixir.GenStage.Stream':'-build/2-fun-1-'/1                                     1     0.00           0  [      0.00]
'Elixir.GenStage.Stream':'-build/2-fun-3-'/2                                     1     0.00           0  [      0.00]
'Elixir.Flow.Window.Global':materialize/5                                        1     0.00           0  [      0.00]
raw_file_io_raw:open_layer/3                                                     1     0.00           0  [      0.00]
'Elixir.Scribe.Style':default/0                                                  1     0.00           0  [      0.00]
prim_file:open/2                                                                 1     0.00           0  [      0.00]
prim_file:make_fd/2                                                              1     0.00           0  [      0.00]
prim_file:close/1                                                                1     0.00           0  [      0.00]
prim_file:build_fd_data/2                                                        1     0.00           0  [      0.00]
prim_file:encode_path/1                                                          1     0.00           0  [      0.00]
'Elixir.GenStage':buffer_or_dispatch_info/2                                      9     0.00           0  [      0.00]
'Elixir.GenStage':cast/2                                                        11     0.00           0  [      0.00]
'Elixir.GenStage':consumer_init_subscribe/2                                      8     0.00           0  [      0.00]
'Elixir.GenStage':consumer_subscribe/2                                           8     0.00           0  [      0.00]
'Elixir.GenStage':consumer_subscribe/4                                           8     0.00           0  [      0.00]
'Elixir.GenStage':consumer_subscribe/7                                           8     0.00           0  [      0.00]
'Elixir.GenStage':demand/2                                                       2     0.00           0  [      0.00]
'Elixir.GenStage':dispatch_info/2                                                9     0.00           0  [      0.00]
'Elixir.GenStage':from_enumerable/2                                              1     0.00           0  [      0.00]
'Elixir.GenStage':init/1                                                         9     0.00           0  [      0.00]
'Elixir.GenStage':init_dispatcher/1                                              9     0.00           0  [      0.00]
'Elixir.GenStage':init_producer/3                                                1     0.00           0  [      0.00]
'Elixir.GenStage':init_producer_consumer/3                                       8     0.00           0  [      0.00]
'Elixir.GenStage':invoke_cancel/4                                                8     0.00           0  [      0.00]
'Elixir.GenStage':producer_demand/2                                              2     0.00           0  [      0.00]
'Elixir.GenStage':producer_info/2                                                9     0.00           0  [      0.00]
'Elixir.GenStage':schedule_cancel/4                                              8     0.00           0  [      0.00]
'Elixir.GenStage':stream/2                                                       1     0.00           0  [      0.00]
'Elixir.GenStage':terminate/2                                                    9     0.00           0  [      0.00]
'Elixir.GenStage':'-take_from_buffer/2-fun-0-'/2                                 2     0.00           0  [      0.00]
'Elixir.GenStage':'-consumer_subscribe/7-fun-1-'/6                               8     0.00           0  [      0.00]
'Elixir.GenStage':'-consumer_subscribe/7-fun-0-'/5                               8     0.00           0  [      0.00]
'Elixir.GenStage':'-consumer_init_subscribe/2-lists^foldl/2-0-'/3               16     0.00           0  [      0.00]
'Elixir.GenStage':'-consumer_init_subscribe/2-fun-0-'/2                          8     0.00           0  [      0.00]
'Elixir.GenStage':'-buffer_events/2-lists^foldl/2-0-'/3                          2     0.00           0  [      0.00]
'Elixir.Scribe.Table':distribute_widths/2                                        1     0.00           0  [      0.00]
'Elixir.Scribe.Table':format/4                                                   1     0.00           0  [      0.00]
'Elixir.Scribe.Table':get_max_widths/3                                           1     0.00           0  [      0.00]
'Elixir.Scribe.Table':printable_width/1                                          1     0.00           0  [      0.00]
'Elixir.Scribe.Table':table_style/1                                              1     0.00           0  [      0.00]
'Elixir.Scribe.Table':total_width/0                                              1     0.00           0  [      0.00]
'Elixir.Enumerable':impl_for/1                                                   2     0.00           0  [      0.00]
'Elixir.Enumerable':reduce/3                                                     2     0.00           0  [      0.00]
'Elixir.Keyword':'fetch!'/2                                                      1     0.00           0  [      0.00]
'Elixir.Keyword':'-take/2-fun-0-'/2                                              2     0.00           0  [      0.00]
lists:sort/2                                                                     1     0.00           0  [      0.00]
lists:partition/2                                                                1     0.00           0  [      0.00]
lists:partition/4                                                                5     0.00           0  [      0.00]
'Elixir.Code.Identifier':binary_op/1                                             1     0.00           0  [      0.00]
